PMID,Max_WaldScenario,Max_WaldRatio,Min_WaldScenario,Min_WaldRatio,Author_pmid,DBP_scenariorange
Caiazzo_32889869,C12C0,4.428571428571468,T12C12,1.9999999999999944,Caiazzo_32889869,2.4285714285714732
Demerdash_12345678,C12C0,0.919540229885058,T12C12,0.5882352941176469,Demerdash_12345678,0.33130493576741116
Eskandaros_34981324,C12C0,1.693771777349175,T12C12,1.1041292639138214,Eskandaros_34981324,0.5896425134353536
Halperin_24899464,C12C0,0.8749999999999981,T12C12,-0.2692307692307703,Halperin_24899464,1.1442307692307683
Herrera_20587720,T12C12,12.250000000000025,T12T0,0.8985507246376815,Herrera_20587720,11.351449275362343
Ikramuddin_23736733,C12C0,1.8518518518518547,T12C12,1.0344827586206895,Ikramuddin_23736733,0.8173690932311652
Ospanov_33963974_a,T12C12,2.9562982005141385,T12T0,1.136363636363637,Ospanov_33963974_a,1.8199345641505016
Ospanov_33963974_b,T12C12,2.1,T12T0,1.4579901153212518,Ospanov_33963974_b,0.6420098846787483
Schiavon_29133606,T12C12,0.3789473684210522,C12C0,-25.999999999999577,Schiavon_29133606,26.37894736842063
Simonson_31931977,C12C0,0.7777777777777749,T12T0,0.2608695652173918,Simonson_31931977,0.5169082125603831
Sullivan_28000425,T12C12,1.3263888888888886,C12C0,-7.466666666666618,Sullivan_28000425,8.793055555555506
Søvik_21893621,C12C0,0.2479674796747965,T12C12,-0.453125000000001,Søvik_21893621,0.7010924796747975
Tur_23163735_a,T12C12,0.7531645569620239,T12T0,0.1928571428571428,Tur_23163735_a,0.560307414104881
Tur_23163735_b,C12C0,1.92307692307692,T12T0,0.1928571428571428,Tur_23163735_b,1.7302197802197772
Wallenius_32540150,T12C12,3.0862068965517264,C12C0,-0.2499999999999997,Wallenius_32540150,3.336206896551726
