level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,intervention_control,extracted_portion,lname,Author_pmid
33,31,30,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,0.0,13.0,9.0,36.7,80.9,control,DWM,Simonson,Simonson_31931977
34,32,31,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,0.0,15.0,57.0,42.0,93.0,control,S-GB,Abel,Abel_30471927
35,33,32,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,0.0,11.0,61.0,43.0,95.0,intervention,LBP-GB,Abel,Abel_30471927
36,34,33,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,0.0,22.0,38.0,34.9,78.0,intervention,RYGBplusLMM,Ikramuddin,Ikramuddin_23736733
37,35,34,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,0.0,26.0,34.0,34.3,79.0,control,LMM,Ikramuddin,Ikramuddin_23736733
38,36,35,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,0.0,17.0,0.0,40.5,90.0,control,DTG,Iosif,Iosif_1234567
39,37,36,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,0.0,19.0,0.0,39.6,80.0,intervention,LSG,Iosif,Iosif_1234567
40,38,37,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,22.0,9.0,30.48,88.58,intervention,RYGB,Ziwen,Ziwen_23706413
41,39,38,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,24.0,12.0,30.94,87.83,control,usualcare,Ziwen,Ziwen_23706413
42,40,39,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,24.0,10.0,30.28,85.83,control,usualcareplusexenatide,Ziwen,Ziwen_23706413
43,41,40,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,0.0,9.0,10.0,36.5,76.6,control,WhyWAIT,Halperin,Halperin_24899464
44,42,41,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,0.0,6.0,13.0,36.0,81.7,intervention,RYGB,Halperin,Halperin_24899464
45,43,42,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,0.0,2.0,14.0,46.2,91.5,intervention,RYGB,Demerdash,Demerdash_12345678
46,44,43,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,0.0,3.0,15.0,45.8,92.5,control,BAND,Demerdash,Demerdash_12345678
47,45,44,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,3.0,3.0,8.0,36.5,74.4,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
48,46,45,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,24.0,13.0,9.0,35.1,82.5,control,DWM,Simonson,Simonson_31931977
49,47,46,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,12.0,9.0,9.0,31.799999999999997,77.89999999999999,intervention,LAGB,Simonson,Simonson_31931977
50,48,47,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,36.0,13.0,9.0,35.0,80.4,control,DWM,Simonson,Simonson_31931977
51,49,48,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,12.0,15.0,35.0,36.3,80.6,control,MT,Schiavon,Schiavon_29133606
52,50,49,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,24.0,9.0,9.0,32.4,77.19999999999999,intervention,LAGB,Simonson,Simonson_31931977
53,51,50,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,7.0,13.0,33.74,87.15,control,HDER,Ospanov,Ospanov_33963974_a
54,52,50,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,7.0,13.0,33.74,87.15,control,HDER,Ospanov,Ospanov_33963974_b
55,53,51,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,36.0,9.0,9.0,32.5,75.3,intervention,LAGB,Simonson,Simonson_31931977
56,54,52,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,12.0,13.0,9.0,34.0,78.80000000000001,control,DWM,Simonson,Simonson_31931977
57,55,53,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,12.0,3.0,8.0,30.3,71.7,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
58,56,54,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,48.0,11.0,61.0,33.0,90.0,intervention,LBP-GB,Abel,Abel_30471927
59,57,55,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,12.0,26.0,34.0,31.6,74.0,control,LMM,Ikramuddin,Ikramuddin_23736733
60,58,56,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,6.0,0.0,11.0,47.1,86.22,control,CG,Robson,Robson_34554379
61,59,57,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,12.0,13.0,12.0,28.7,76.55,intervention,RYGB,Wallenius,Wallenius_32540150
62,60,58,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,3.0,2.0,23.0,38.25,78.6,control,SG,Barros,Barros_25919069
63,61,59,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,24.0,13.0,12.0,28.8,79.55,intervention,RYGB,Wallenius,Wallenius_32540150
64,62,60,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,5.0,15.0,29.85,75.65,intervention,LMGB-OAGB,Ospanov,Ospanov_33963974_b
65,63,61,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,12.0,3.0,15.0,37.1,84.5,control,BAND,Demerdash,Demerdash_12345678
66,64,62,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,12.0,2.0,14.0,32.0,81.5,intervention,RYGB,Demerdash,Demerdash_12345678
67,65,63,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,12.0,13.0,11.0,31.599999999999998,85.5,control,SG,Wallenius,Wallenius_32540150
68,66,64,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,24.0,8.0,23.0,37.5,76.8,intervention,GB,Søvik,Søvik_21893621
69,67,65,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,1.0,3.0,8.0,40.1,70.0,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
70,68,66,25919069, 10.1089/met.2014.0152,Fernando de Barros ,2015,Mixed,51.0,Both,3.0,2.0,23.0,40.32,82.4,intervention,GB,Barros,Barros_25919069
71,69,67,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,24.0,0.0,0.0,36.9,80.3,intervention,DJBL,Caiazzo,Caiazzo_32889869
72,70,68,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,12.0,0.0,0.0,34.6,73.4,intervention,DJBL,Caiazzo,Caiazzo_32889869
