level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
97,95,93,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,3.0,6.0,13.0,32.1,82.60000000000001,25.04,39.16,64.896,100.304,9.03265306122449,3.60204081632653,intervention,RYGB,Halperin,Halperin_24899464
98,96,94,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,36.0,9.0,41.0,26.8,77.4,25.8,27.9,74.2,80.6,1.6326530612244876,0.5357142857142851,intervention,RYGBplusMT,Schiavon,Schiavon_32805133
99,97,95,34554379,10.1007/s11695-021-05702-5,Alan Robson,2021,EUR,75.0,Female,6.0,0.0,50.0,33.09,77.1,22.388400000000004,43.7916,68.2212,85.97879999999999,4.53,5.46,intervention,RYGB,Robson,Robson_34554379
100,98,96,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,12.0,22.0,42.0,36.1178,78.09,31.22172,41.01388,62.480560000000004,93.69944000000001,7.964,2.498,intervention,S-RYGB,Eskandaros,Eskandaros_34981324
101,99,97,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,12.0,22.0,38.0,25.8,68.0,18.94,32.66,50.36,85.64,9.0,3.5,intervention,RYGBplusLMM,Ikramuddin,Ikramuddin_23736733
102,100,98,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,24.0,11.0,61.0,31.0,86.0,21.2,40.8,56.6,115.4,15.0,5.0,intervention,LBP-GB,Abel,Abel_30471927
103,101,99,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,3.0,9.0,10.0,34.0,72.3,27.035999999999998,40.964,51.85199999999999,92.748,10.432653061224494,3.553061224489796,control,WhyWAIT,Halperin,Halperin_24899464
104,102,100,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,34.1,73.8,21.556,46.644000000000005,51.06399999999999,96.536,11.6,6.4,intervention,SOG,Burguera,Burguera_194696
105,102,100,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,34.1,73.8,21.556,46.644000000000005,51.06399999999999,96.536,11.6,6.4,intervention,SOG,Burguera,Burguera_194696
106,103,101,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,33.83,79.87,22.4228,45.2372,54.997600000000006,104.7424,12.69,5.82,intervention,SOG,Tur,Tur_23163735_a
107,103,101,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,33.83,79.87,22.4228,45.2372,54.997600000000006,104.7424,12.69,5.82,intervention,SOG,Tur,Tur_23163735_b
108,104,102,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,12.0,6.0,13.0,26.3,76.60000000000001,18.94,33.66,58.896,94.304,9.03265306122449,3.7551020408163254,intervention,RYGB,Halperin,Halperin_24899464
109,105,103,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,40.6,84.0,27.076,54.124,59.891999999999996,108.108,12.3,6.9,control,ILI,Burguera,Burguera_194696_a
110,106,104,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,46.2,84.0,35.616,56.784000000000006,60.676,107.324,11.9,5.4,control,COT,Burguera,Burguera_194696_b
111,107,105,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,12.0,20.0,37.0,32.7758,74.4,26.421675999999998,39.129923999999995,57.326440000000005,91.47356,8.711,3.2419,control,L-RYGB,Eskandaros,Eskandaros_34981324
112,108,106,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,34.4,77.0,22.444,46.355999999999995,58.184,95.816,9.6,6.1,intervention,SOG,Burguera,Burguera_194696
113,108,106,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,24.0,0.0,0.0,34.4,77.0,22.444,46.355999999999995,58.184,95.816,9.6,6.1,intervention,SOG,Burguera,Burguera_194696
114,109,107,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,24.0,15.0,57.0,33.0,83.0,21.240000000000002,44.76,57.519999999999996,108.48,13.0,6.0,control,S-GB,Abel,Abel_30471927
115,110,108,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,36.0,20.0,37.0,26.9566,77.25,20.245168000000003,33.668032000000004,55.27644,99.22355999999999,11.211,3.4242,control,L-RYGB,Eskandaros,Eskandaros_34981324
116,111,109,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,40.15,84.63,29.7032,50.5968,63.187599999999996,106.07239999999999,10.94,5.33,control,ILI,Tur,Tur_23163735_a
117,112,110,34981324,10.1007/s11695-021-05868-y,Moheb S Eskandaros ,2022,AFR,150.0,Both,24.0,20.0,37.0,28.3258,73.82,21.8431,34.8085,56.01732,91.62267999999999,9.083,3.3075,control,L-RYGB,Eskandaros,Eskandaros_34981324
118,113,111,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,12.0,10.0,101.0,35.75,82.8,0.0,0.0,0.0,0.0,0.0,0.0,control,Sham,Sullivan,Sullivan_28000425
119,114,112,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,6.0,3.0,8.0,32.4,70.0,26.715999999999998,38.083999999999996,57.652,82.348,6.3,2.9,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
120,115,113,23163735,10.1111/cen.12109,Juan Jesús Tur,2013,EUR,143.0,Both,12.0,0.0,0.0,46.37,85.86,36.9032,55.8368,59.2432,112.4768,13.58,4.83,control,COT,Tur,Tur_23163735_b
