level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
24,23,22,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,0.0,17.0,43.0,45.8,86.8,36.0,55.599999999999994,67.19999999999999,106.4,10.0,5.0,control,ILI,Burguera,Burguera_194696_a
25,24,23,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,0.0,17.0,29.0,46.8,86.6,37.784,55.815999999999995,67.0,106.19999999999999,10.0,4.6,control,COT,Burguera,Burguera_194696_b
26,25,24,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,0.0,11.0,26.0,49.2,82.8,37.636,60.764,65.356,100.244,8.9,5.9,intervention,SOG,Burguera,Burguera_194696
27,25,24,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,0.0,11.0,26.0,49.2,82.8,37.636,60.764,65.356,100.244,8.9,5.9,intervention,SOG,Burguera,Burguera_194696
28,26,25,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,0.0,15.0,34.0,38.4,81.8,36.8,39.9,78.8,84.8,0.0,0.0,intervention,DJBL,Caiazzo,Caiazzo_32889869
29,27,26,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,0.0,11.0,20.0,37.9,81.7,36.3,39.5,76.5,86.4,0.0,0.0,control,MT,Caiazzo,Caiazzo_32889869
30,28,27,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,0.0,10.0,101.0,36.2,79.44,31.888,40.512,0.0,0.0,0.0,2.2,control,Sham,Sullivan,Sullivan_28000425
31,29,28,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,0.0,26.0,195.0,36.0,77.97,31.296,40.704,0.0,0.0,0.0,2.4,intervention,POSE,Sullivan,Sullivan_28000425
32,30,29,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,0.0,9.0,9.0,36.4,79.1,30.52,42.28,68.71199999999999,89.488,5.3,3.0,intervention,LAGB,Simonson,Simonson_31931977
33,31,30,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,0.0,13.0,9.0,36.7,80.9,28.468000000000004,44.932,65.024,96.77600000000001,8.1,4.2,control,DWM,Simonson,Simonson_31931977
34,32,31,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,0.0,15.0,57.0,42.0,93.0,34.16,49.84,77.32,108.68,8.0,4.0,control,S-GB,Abel,Abel_30471927
35,33,32,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,0.0,11.0,61.0,43.0,95.0,33.2,52.8,73.44,116.56,11.0,5.0,intervention,LBP-GB,Abel,Abel_30471927
36,34,33,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,0.0,22.0,38.0,34.9,78.0,29.02,40.78,54.480000000000004,101.52,12.0,3.0,intervention,RYGBplusLMM,Ikramuddin,Ikramuddin_23736733
37,35,34,23736733,10.1001/jama.2013.5835,Sayeed Ikramuddin,2013,Mixed,120.0,Both,0.0,26.0,34.0,34.3,79.0,28.223999999999997,40.376,59.4,98.6,10.0,3.1,control,LMM,Ikramuddin,Ikramuddin_23736733
38,36,35,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,0.0,17.0,0.0,40.5,90.0,23.644000000000002,57.355999999999995,70.4,109.6,10.0,8.6,control,DTG,Iosif,Iosif_1234567
39,37,36,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,0.0,19.0,0.0,39.6,80.0,29.996000000000002,49.204,60.4,99.6,10.0,4.9,intervention,LSG,Iosif,Iosif_1234567
40,38,37,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,22.0,9.0,30.48,88.58,28.6376,32.3224,77.74119999999999,99.4188,5.53,0.94,intervention,RYGB,Ziwen,Ziwen_23706413
